Aime,F,23/85,
Aimee,F,..9/00,
Aimery,M,012-DGRC-2000,
Aimi,F,12/00,
Aimie,F,012-DGRC-2000,
Ain,A,ACOMP/OTRO-17/92,
Aina,F,012-DGRC-2000,
Ainao,A,ACOMP/OTRO.8/03,
Ainara,F,11/96,
Aine,F,012-DGRC-2000,
Ainhoa,F,15/95,
Ainsley,F,012-DGRC-2000,
Ainslie,M,012-DGRC-2000,
Aiosha,M,012-DGRC-2000,
Airlia,F,012-DGRC-2000,
Aischa,F,012-DGRC-2000,
Aisha,F,12/97,
Aisling,F,012-DGRC-2000,
Aislinn,F,012-DGRC-2000,
Aissatou,F,12/02,
Aitalas,M,SANTORAL,
Aitana,F,2/00,
Aitiana,F,012-DGRC-2000,
Aitor,M,910/79,
Aixa,F,387/55,ORIGEN: ARABESIGNIFICADO: LA ELEGIDA POR EL MAXIMOGENERO: FEMENINO.
Aiyana,F,012-DGRC-2000,
Ajani,M,012-DGRC-2000,
Ajay,M,012-DGRC-2000,
Akagi,M,012-DGRC-2000,
Akane,F,20/01,
Akanke,F,012-DGRC-2000,
Akari,M,012-DGRC-2000,
Akasma,F,012-DGRC-2000,
Akbar,M,012-DGRC-2000,
Akela,F,012-DGRC-2000,
Akemi,F,28/96,
Aki,M,...9/00,
Akiko,F,19/99,
Akil,M,012-DGRC-2000,
Akilah,A,012-DGRC-2000,
Akilina,A,012-DGRC-2000,
Akina,F,012-DGRC-2000,
Akio,M,012-DGRC-2000,
Akira,M,1/96,
Akiva,M,012-DGRC-2000,
Aksel,M,012-DGRC-2000,
Al,M,012-DGRC-2000,
Alaa,F,8/04,
Alaciel,M,012-DGRC-2000,
Aladdin,M,012-DGRC-2000,
Aladino,M,864/75,ORIGEN: ARABESIGNIFICADO: SUBLIMIDAD DE LA FE, POSEEDOR DE LA LAMPARA MILAGROSA, PERSONAJE DE LAS MIL Y UNA NOCHE, EL QUE ALCANZO LA CUMBRE DEL SABER RELIGIOSO GENERO: MASCULINO.-
Alahi,F,012-DGRC-2000,
Alaia,F,17/04,
Alaide,F,459/57,
Alain,M,23/91,
Alair,M,012-DGRC-2000,
Alala,F,012-DGRC-2000,
Alan,M,459/57,ORIGEN: GERMANICOSIGNIFICADO: VARIANTE ANGLICIZANTE DE ALANO GENERO: MASCULINO.-
Alana,F,36/89,ORIGEN: CELTASIGNIFICADO; DEL CELTICO"ALUN", ARMONIAGENERO: FEMENI- NOVARIACION DE GENERO: ALANO.
Alani,F,012-DGRC-2000,
Alanis,F,13/98,
Alanna,F,012-DGRC-2000,
Alano,M,COMUN,ORIGEN: CELTASIGNIFICADO: DEL CELTICO"ALUN", ARMONIAGENERO: MASCU- LINOVARIACION DE GENERO: ALANA
Alaor,M,505/59,
Alaqua,F,012-DGRC-2000,
Alaric,M,012-DGRC-2000,
Alarico,M,COMUN,
Alastair,M,012-DGRC-2000,
Alaura,F,012-DGRC-2000,
Alavda,F,012-DGRC-2000,
Alaya,F,PCIA.BS AS,
Alayde,F,012-DGRC-2000,
Alayn,M,16/00,
Alba,F,810/78,ORIGEN: LATINOSIGNIFICADO: DEL LATIN "ALBA": AURORA PASAJE DE LA OSCU- RIDAD NOCTURNA A LA CALRIDAD, A LA BLANCURA DEL DIA, DE"ALBUS": BLANCO- RAIZ INDOEUROPEAALBHLA MISMA SE ENCUENTRA EN ALFIO Y ALFEO. NOMBRE: COMUNGENERO: MASCULINO
Alban,M,012-DGRC-2000,
Albana,F,542/60,ORIGEN: LATINOSIGNIFICADO: DEL LATIN "ALBANUS", GENTILICIO DE ALBA, LA MAS ANTIGUA CIUDAD LATINA, TAL VEZ DERIVADO DE "ALBUS": BLANCO (ALPUS: MONTE CUBIERTO DE NIEVE) VARIACION MASCULINA: ALBANO .
Albano,M,887/77,ORIGEN: LATINOSIGNIFICADO: DEL LATIN "ALBANUS", GENTILICIO DE ALBA, LA MAS ANTIGUA CIUDAD LATINA, TAL VEZ DERIVADO DE "ALBUS": BLANCO (ALPUS MONTE CUBIERTO DE NIEVE). GENERO: MASCULINO.
Albar,M,012-DGRC-2000,
Alben,M,012-DGRC-2000,
Alberico,M,COMUN,
Albert,M,11/00,
Alberta,F,012-DGRC-2000,
Albertina,F,767/71,
Alberto,M,COMUN,ORIGEN: GERMANICOSIGNIFICADO: BRILLANTE POR SU NOBLEZA, CONTRACCION DE ADALBERTO "ALL": TODO"BERTH": ILUSTRE. NOMBRE: COMUNGENERO: MASCU- LINOVARIACION DE GENERO: ALBERTINAALBERTA.
Albida,F,494/58,
Albin,M,012-DGRC-2000,
Albina,F,903/78,ORIGEN: LATINOSIGNIFICADO: DEL LATIN "ALBINUS" PATRONIMICO DE ALBUS O SEA ALBO Y COGNOMEN ROMANOEN EL SANTORAL APARECE UNA VIRGEN MARTIRI ZADA EN AL CAMPANIA CON ESTE NOMBRE, DE TEZ MUY BLANCA, HABITANTE DE LA  NOCHEVARIACION DE GENERO: ALBINO.
Albinka,F,012-DGRC-2000,
Albino,M,851/74,ORIGEN: LATINOSIGNIFICADO: DEL LATIN "ALBINUS" PATRONIMICO DE ALBUS O SEA ALBO Y COGNOMEN ROMANO, EN EL SANTORAL APARECE UNA VIRGEN MARTIRI ZADA EN AL CAMPANIA CON ESTE NOMBRE, DE TEZ MUY BLANCA, HABITANTE DE LA NOCHE. VARIACION DE GENERO: ALBINA.
Albuino,M,SANTORAL,
Alcander,M,012-DGRC-2000,
Alceo,M,COMUN,ORIGEN: GRIEGOSIGNIFICADO: ROBUSTONOMBRE QUE RECIBIO HERCULES AL NA CER EN EL RECUERDO DE SU ABUELOGENERO: MASCULINO
Alcia,F,USJ,
Alcibiades,M,COMUN,ORIGEN: GRIEGOSIGNIFICADO: GENEROSO Y VIOLENTONOMBRE DEL POLITICO Y GUERRERO ATENIENSE DISCIPULO DE SOCRATES (SIGLO V). NOMBRE: COMUN GENERO: MASCULINO.
Alcides,M,328/53,ORIGEN: GRIEGOSIGNIFICADO: EL FUERTE Y VIGOROSO, UNO DE LOS NOMBRES DE HERCULESNOMBRE: COMUNGENERO: MASCULINO.
Alcina,F,012-DGRC-2000,
Alcira,F,878/946,ORIGEN: TEUTONSIGNIFICADO: ADORNO DE LA NOBLEZADE SAN BERNARDO DE ALCIRAHIJO DEL REY MORO DE LERIDA Y MARTIR EN VALENCIA (SIGLO III). ALCIRA ES UNA CIUDAD ESPA¥OLA EN LA PCIA. DE VALENCIA A ORILLAS DEL RIO JUCAR, DERIVA DE LA CONTRACCION DEL ARABE"ALGECIRA": LA ISLA, VARIANTE
Alcmena,F,894/78,ORIGEN: GRIEGOSIGNIFICADO: HIJA DE ELECTRION, REY DE MICENAS Y NIETA DE PERSEOESPOSA FIEL DE ANFITRION, A PESAR DE QUE ZEUS SE ENAMORO DE ELLA.-FUERZA, AYUDA, DEFENSA, LA MADRE DE HERCULESGENERO: FEMENINO.-
Alcott,A,012-DGRC-2000 A/OTRO,
Alda,F,779/71,ORIGEN: GERMANICOSIGNIFICADO: EXPERIMENTADA, LA MAS BELLA. GENERO: FEMENINOVARIACION DE GENERO: ALDO.
Aldabel,F,PCIA.BS.AS,
Aldabella,F,PCIA.BS.AS,
Aldair,M,012-DGRC-2000,
Aldan,M,012-DGRC-2000,
Aldana,F,867/75,ORIGEN: HISPANICOSIGNIFICADO: NOMBRE DE MUJER COMPUESTO. GENERO: FEMENINOCONTRACTURA DE ALDA Y ANA.
Aldara,F,15/01,
Aldea,F,012-DGRC-2000,
Aldegunda,F,SANTORAL,
Aldelmo,M,SANTORAL,
Aldemar,M,012-DGRC-2000,
Alden,M,012-DGRC-2000,
Alder,M,012-DGRC-2000,
Aldercy,F,012-DGRC-2000,
Alderico,M,878/946,
Aldevar,M,012-DGRC-2000,
Aldina,F,012-DGRC-2000,
Aldo,M,400/55,ORIGEN: TEUTONSIGNIFICADO: EL NOBLE QUE ESTA EXPERIMENTADOHIPOCO- RISTICO DE UNO DE LOS POCOS NOMBRES CUYO PRIMER ELEMENTO ES"ALD", RAIZ INDOEUROPEA QUE SIGNIFICA:"CRECER, ALIMENTAR", SAN ALDO, ERMITA¥O ITALIA- NO. NOMBRE: COMUNGENERO: MASCULINOVARIACION DE GENERO: ALDA.
Ale,A,ACOMP/OTRO-17/95,
Alea,F,012-DGRC-2000,
Aleandro,M,012-DGRC-2000,
Aleardo,M,012-DGRC-2000,
Alec,M,012-DGRC-2000,
Alecio,M,012-DGRC-2000,
Aleeza,F,012-DGRC-2000,
Alegra,F,622/64,ORIGEN: LATINOSIGNIFICADO: DEL LATIN POPULAR "ALECER": VIVAZ, EXCITADO LLENO DE ARDOR, ALEGRE, LORD BYRON DIO ESE NOMBRE A SU HIJA. GENERO: FEMENINO.
Alegre,F,2/00,
Alegria,F,012-DGRC-2000,
Aleida,F,4/97,
Aleix,M,17/99,
Alejandra,F,SANTORAL,
Alejandrina,F,454/56,
Alejandro,M,COMUN,ORIGEN: GRIEGOSIGNIFICADO: APARTARRECHAZARPROTEGEREL DEFENSOR DE LOS HOMBRES- FORMADO POR "FUERZA" Y "HOMBRE PROTECTOR", EN EL SANTORAL CUARENTA SANTOS Y DOS BEATAS, ENTRE ELLOS EL PAPA ALEJANDRO I, AL CUAL SE LE ATRIBUYE LA INSTITUCION DEL AGUA BENDITANOMBRE: COMUNGENERO
Alejo,M,COMUN,ORIGEN: GRIEGOSIGNIFICADO: PROTECTORDEFENSORVENCEDORQUE PROTEJE Y DEFIENDE, PASO AL LATIN Y LUEGO A LAS LENGUAS ROMANCES, SAN ALEJO ES UN SANTO FAMOSO EN RUSIA EN EL SIGLO IVNOMBRE: COMUNGENERO: MASCULINO
Alek,M,012-DGRC-2000,
Aleka,F,012-DGRC-2000,
Aleksan,M,012-DGRC-2000,
Aleksander,M,9/04,
Aleksandra,F,012-DGRC-2000,
Aleksey,M,012-DGRC-2000,
Aleksy,M,012-DGRC-2000,
Aleli,F,21/98,
Alelia,F,012-DGRC-2000,
Alem,M,012-DGRC-2000,
Alen,A,ACOMP/OTRO-6/97,
Alena,F,012-DGRC-2000,
Alenka,F,4/97,
Aleron,M,012-DGRC-2000,
Alesandra,F,012-DGRC-2000,
Alesandro,M,11/00,
Aleser,M,012-DGRC-2000,
Alesia,F,6/95,
Alesio,M,17/90,
Alessandra,F,13/92,
Alessandro,M,21/90,
Alessia,F,15/93,
Alessio,M,5/99,
Aleta,F,012-DGRC-2000,
Alethea,F,012-DGRC-2000,
Alethia,F,8/95,ORIGEN: GRIEGOSIGNIFICADO: REPRESENTABA A LA VERDAD EN LA MITOLOGIA GRIEGAFUE HIJA DEL TIEMPO Y MADRE DE L; A JUSTICIA Y LA VIRTUD. GENERO: FEMENINO.
Aletta,F,012-DGRC-2000,
Alex,M,851/74,ORIGEN: INGLESSIGNIFICADO: ABREVIATURA DE "ALEXANDER"GENERO: MASCU LINO.-
Alexa,F,8/94,
Alexan,M,012-DGRC-2000,
Alexander,M,903/78,
Alexandra,F,874/76,
Alexandre,M,4/01,
